home_team_encoded,away_team_encoded,referee_encoded,home_goals,away_goals,home_xg,away_xg,home_poss,home_team_form,away_team_form,home_avg_goals_10,home_avg_xg_10,away_avg_goals_10,away_avg_xg_10,home_avg_conceded_10,away_avg_conceded_10,h2h_stat,result
1,21,7,0,1,0.5,0.6,58,0.75,1.5,0.75,1.1,1.5328947368421053,1.4846052631578948,1.75,1.5328947368421053,0.0,-1
22,16,17,1,1,0.7,1.7,37,0.5,1.5,0.5,0.9,1.5328947368421053,1.4846052631578948,1.0,1.5328947368421053,0.0,0
17,20,4,0,2,0.9,2.4,55,1.0,1.5,0.5,0.875,1.5328947368421053,1.4846052631578948,1.25,1.5328947368421053,0.0,-1
9,4,26,2,1,0.7,1.4,39,1.6,1.5,1.6,1.3199999999999998,1.5328947368421053,1.4846052631578948,1.4,1.5328947368421053,0.0,1
7,3,23,1,1,1.0,1.4,49,1.0,1.2,1.4,1.1800000000000002,2.0,1.54,1.8,1.4,0.0,0
19,6,14,2,1,1.1,1.1,33,1.4,1.4,1.4,1.02,1.2,1.3800000000000001,1.8,1.6,0.0,1
10,8,6,1,1,1.0,1.0,69,1.6,0.6,1.6,1.5,0.8,1.1800000000000002,1.0,1.2,0.0,0
14,17,16,6,0,3.3,0.7,74,2.6,1.5,3.8,2.3,1.5328947368421053,1.4846052631578948,1.0,1.5328947368421053,0.0,1
0,1,19,2,1,2.4,0.4,59,3.0,0.6,2.6,2.0,0.8,0.96,0.8,1.8,0.0,1
2,22,2,0,0,0.4,1.5,35,0.8,1.5,0.4,0.33999999999999997,1.5328947368421053,1.4846052631578948,3.2,1.5328947368421053,0.0,0
21,20,17,1,1,1.2,0.6,39,0.8,1.5,0.4,1.04,1.5328947368421053,1.4846052631578948,1.2,1.5328947368421053,0.0,0
12,16,0,2,1,1.5,0.7,72,1.6,1.5,3.0,1.86,1.5328947368421053,1.4846052631578948,1.2,1.5328947368421053,0.0,1
11,15,4,0,1,0.7,1.5,53,0.2,1.5,1.2,0.9199999999999999,1.5328947368421053,1.4846052631578948,2.2,1.5328947368421053,0.0,-1
8,12,2,0,0,1.7,2.1,39,0.8,1.6,0.6666666666666666,1.2666666666666666,2.5,1.9000000000000001,1.0,1.0,0.0,0
16,7,15,0,0,2.8,1.0,52,0.8,1.2,1.1666666666666667,1.4833333333333332,1.1666666666666667,1.1500000000000001,1.0,1.5,0.0,0
20,9,24,2,1,2.9,0.7,52,2.2,1.4,2.0,1.6833333333333333,1.5,1.2166666666666666,0.8333333333333334,1.5,0.0,1
3,10,19,5,2,2.3,1.7,32,1.6,1.0,2.5,1.6666666666666667,1.6666666666666667,1.5333333333333332,1.5,1.6666666666666667,0.0,1
6,21,1,2,1,0.9,1.1,67,1.4,1.5,1.3333333333333333,1.3,1.5328947368421053,1.4846052631578948,1.5,1.5328947368421053,0.0,1
22,19,10,1,0,0.8,1.2,51,1.2,1.4,0.5,0.9833333333333334,1.1666666666666667,1.05,0.6666666666666666,1.6666666666666667,0.0,1
17,2,14,2,3,1.9,0.8,52,0.8,0.8,0.6666666666666666,1.0166666666666666,0.8333333333333334,0.4166666666666667,2.3333333333333335,3.0,0.0,-1
1,14,23,1,1,0.3,2.1,29,0.8,2.2,0.8333333333333334,0.85,3.3333333333333335,2.2666666666666666,1.6666666666666667,1.0,0.0,0
4,11,28,5,2,2.6,1.4,53,2.0,0.0,1.8333333333333333,1.7833333333333332,1.3333333333333333,1.0,0.8333333333333334,2.6666666666666665,0.0,1
15,0,16,3,1,1.5,1.3,40,2.4,2.4,1.3333333333333333,1.3666666666666665,2.3333333333333335,1.8833333333333335,1.3333333333333333,1.1666666666666667,0.0,1
1,19,28,1,0,1.5,0.3,53,0.8,1.2,0.8571428571428571,0.9428571428571428,1.0,0.9428571428571428,1.4285714285714286,1.5714285714285714,0.0,1
17,9,9,2,3,1.4,0.9,41,0.2,1.8,0.8571428571428571,1.0714285714285714,1.7142857142857142,1.1714285714285713,2.4285714285714284,1.5714285714285714,0.0,-1
22,14,2,0,3,0.4,1.1,41,1.0,2.2,0.42857142857142855,0.9,3.2857142857142856,2.1,1.0,0.8571428571428571,0.0,-1
16,2,4,1,1,1.9,0.7,72,0.8,1.0,1.1428571428571428,1.5428571428571427,0.8571428571428571,0.4571428571428572,1.0,2.7142857142857144,0.0,0
20,11,23,6,2,2.2,1.8,44,2.6,0.0,2.5714285714285716,1.7571428571428573,1.4285714285714286,1.1142857142857143,1.0,3.142857142857143,0.0,1
3,0,7,0,3,0.5,1.5,37,1.0,2.4,2.142857142857143,1.5,2.4285714285714284,1.8285714285714287,1.7142857142857142,1.0,0.0,-1
8,21,14,1,0,0.4,1.0,53,1.4,1.5,0.7142857142857143,1.1428571428571428,1.5328947368421053,1.4846052631578948,0.8571428571428571,1.5328947368421053,0.0,1
0,20,2,3,1,2.4,1.6,64,2.4,1.5,2.5,1.9,1.5328947368421053,1.4846052631578948,1.0,1.5328947368421053,0.0,1
