Player,Squad,Cluster_0_proba,Cluster_1_proba,Cluster_2_proba,Cluster_3_proba,Cluster_4_proba,Cluster_5_proba,Cluster_6_proba,Cluster_7_proba,Cluster_8_proba,Cluster_hard,Cluster_confidence
Romelu Lukaku,be Belgium,0.0,0.0,0.0,0.99999968,0.0,0.0,3.2e-07,0.0,0.0,3,0.99999968
Patrik Schick,cz Czechia,0.0,0.0,0.0,0.99999842,1.55e-06,0.0,3e-08,0.0,0.0,3,0.99999842
Karol Świderski,pl Poland,0.0,0.0,0.0,0.99999125,0.0,0.0,8.75e-06,0.0,0.0,3,0.99999125
Cristiano Ronaldo,pt Portugal,0.0,0.0,0.0,0.99998328,0.0,0.0,1.672e-05,0.0,0.0,3,0.99998328
Ante Budimir,hr Croatia,0.0,0.0,0.0,0.99996756,0.0,0.0,3.244e-05,0.0,0.0,3,0.99996756
Dávid Strelec,sk Slovakia,0.0,0.0,0.0,0.99992407,0.0,0.0,7.588e-05,5e-08,0.0,3,0.99992407
Wout Weghorst,nl Netherlands,0.0,0.0,1e-08,0.999887,0.0,0.0,0.00011299,0.0,0.0,3,0.999887
Robert Lewandowski,pl Poland,0.0,0.0,0.0,0.99962837,0.0,0.0,4.9e-07,0.0,0.00037114,3,0.99962837
Benjamin Šeško,si Slovenia,5e-08,0.0,1e-07,0.99962615,0.0,0.0,0.0003737,0.0,0.0,3,0.99962615
Michael Gregoritsch,at Austria,4.088e-05,0.0,0.0,0.99957585,0.0,0.0,0.00038328,0.0,0.0,3,0.99957585
Álvaro Morata,es Spain,2.1e-07,0.0,1.3e-07,0.99933964,0.0,0.0,0.00066001,0.0,0.0,3,0.99933964
Dennis Man,ro Romania,0.0,0.0,1e-08,0.9993113,0.0,0.0,0.00068869,0.0,0.0,3,0.9993113
Dan Ndoye,ch Switzerland,7e-08,0.0,1.02e-06,0.99913206,0.0,0.0,0.00085953,7.31e-06,0.0,3,0.99913206
Andraž Šporar,si Slovenia,1e-07,0.0,3e-08,0.99876582,0.0,0.0,3.4e-05,0.00120004,0.0,3,0.99876582
Gianluca Scamacca,it Italy,0.0,0.0,2.1e-07,0.99875789,0.0,0.0,5.78e-06,0.00123611,0.0,3,0.99875789
Harry Kane,eng England,2.9e-07,0.0,1.6e-07,0.99874054,0.0,0.0,0.00039622,0.00086279,0.0,3,0.99874054
Kai Havertz,de Germany,4e-08,0.0,0.0,0.99859594,0.0,0.0,0.00140402,0.0,0.0,3,0.99859594
Kwadwo Duah,ch Switzerland,0.0,0.0,0.0,0.99824367,0.00175633,0.0,1e-08,0.0,0.0,3,0.99824367
Ferrán Torres,es Spain,9.774e-05,0.0,7.6e-07,0.99716591,0.0,0.0,0.00273195,3.64e-06,0.0,3,0.99716591
Kenan Yıldız,tr Türkiye,8e-08,0.0,8e-08,0.9970012,0.0,0.0,0.00299841,2.4e-07,0.0,3,0.9970012
Roman Yaremchuk,ua Ukraine,9e-08,0.0,0.0,0.99598548,0.00262454,0.0,0.00138989,0.0,0.0,3,0.99598548
Georges Mikautadze,ge Georgia,0.0,0.0,1e-08,0.99489606,0.0,0.0,2.5e-05,0.00507892,0.0,3,0.99489606
Lukáš Haraslín,sk Slovakia,1.29e-06,0.0,1.2e-07,0.99418458,0.0,0.0,0.00581401,0.0,0.0,3,0.99418458
Khvicha Kvaratskhelia,ge Georgia,2.469e-05,0.0,1e-08,0.99384249,0.0,0.0,0.00564096,0.00049185,0.0,3,0.99384249
Roland Sallai,hu Hungary,0.0,0.0,6e-08,0.99288889,0.0,0.0,0.00702261,8.843e-05,0.0,3,0.99288889
Cody Gakpo,nl Netherlands,1e-07,0.0,1e-08,0.96471847,0.0,0.0,0.03528142,0.0,0.0,3,0.96471847
Armando Broja,al Albania,9e-08,0.0,0.0,0.85839529,0.14155927,0.0,4.536e-05,0.0,0.0,3,0.85839529
Jonas Wind,dk Denmark,3e-07,0.0,3.47e-06,0.8189293,0.0,0.0,0.18104543,2.149e-05,0.0,3,0.8189293
Mojmir Chytil,cz Czechia,0.0,1e-08,0.0,0.77798329,0.0,0.0,1.4e-07,0.0,0.22201656,3,0.77798329
Taulant Seferi,al Albania,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,1.0
Bryan Cristante,it Italy,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,1.0
Jakub Kiwior,pl Poland,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,1.0
Gernot Trauner,at Austria,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,1.0
Jakub Moder,pl Poland,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,1.0
Alessandro Bastoni,it Italy,0.0,0.0,1e-08,0.0,0.99999999,0.0,0.0,0.0,0.0,4,0.99999999
Valentin Mihaila,ro Romania,0.0,0.0,0.0,0.0,0.99999998,0.0,0.0,0.0,2e-08,4,0.99999998
Stanislav Lobotka,sk Slovakia,0.0,2e-08,1e-08,0.0,0.99999998,0.0,0.0,0.0,0.0,4,0.99999998
João Palhinha,pt Portugal,0.0,0.0,2e-08,0.0,0.99999998,0.0,0.0,0.0,0.0,4,0.99999998
Tomáš Souček,cz Czechia,0.0,0.0,1e-08,0.0,0.99999997,0.0,0.0,1e-08,0.0,4,0.99999997
Amadou Onana,be Belgium,0.0,0.0,3e-08,0.0,0.99999997,0.0,0.0,0.0,0.0,4,0.99999997
Hakan Çalhanoğlu,tr Türkiye,0.0,0.0,3e-08,0.0,0.99999997,0.0,0.0,0.0,0.0,4,0.99999997
Danilo Pereira,pt Portugal,0.0,0.0,2e-08,0.0,0.99999996,0.0,0.0,0.0,1e-08,4,0.99999996
Barnabás Varga,hu Hungary,0.0,0.0,0.0,3e-08,0.99999996,0.0,0.0,1e-08,0.0,4,0.99999996
Ladislav Krejčí,cz Czechia,0.0,0.0,4e-08,0.0,0.99999996,0.0,0.0,0.0,0.0,4,0.99999996
Daniel Vivian,es Spain,0.0,1e-08,1e-08,0.0,0.99999996,0.0,0.0,0.0,3e-08,4,0.99999996
Ondrej Duda,sk Slovakia,0.0,4e-08,0.0,0.0,0.99999995,0.0,0.0,0.0,0.0,4,0.99999995
Lukáš Provod,cz Czechia,0.0,0.0,0.0,1e-08,0.9999999,0.0,9e-08,0.0,0.0,4,0.9999999
Scott McTominay,sct Scotland,0.0,0.0,0.0,5e-08,0.9999999,0.0,0.0,5e-08,0.0,4,0.9999999
Kevin Danso,at Austria,0.0,0.0,4e-08,0.0,0.99999977,0.0,0.0,0.0,1.9e-07,4,0.99999977
Nélson Semedo,pt Portugal,2.4e-07,0.0,0.0,0.0,0.99999976,0.0,0.0,0.0,0.0,4,0.99999976
Emre Can,de Germany,0.0,0.0,2.5e-07,0.0,0.99999975,0.0,0.0,0.0,0.0,4,0.99999975
Zeno Debast,be Belgium,0.0,1e-08,0.0,0.0,0.99999973,0.0,0.0,0.0,2.6e-07,4,0.99999973
Heorhii Tsitaishvili,ge Georgia,0.0,0.0,0.0,5.5e-07,0.99999945,0.0,0.0,0.0,0.0,4,0.99999945
Florian Grillitsch,at Austria,0.0,0.0,7.1e-07,0.0,0.99999929,0.0,0.0,0.0,0.0,4,0.99999929
Nicolò Barella,it Italy,0.0,0.0,7.1e-07,0.0,0.99999929,0.0,0.0,0.0,0.0,4,0.99999929
Yannick Carrasco,be Belgium,0.0,0.0,0.0,0.0,0.99999923,0.0,1e-07,6.7e-07,0.0,4,0.99999923
