gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
114132,39.792840018483346,-1.463722570379979,0.16388828149362342,-8.931221665393627,4.213299288647718e-19,1.0141411387775057e-16
23113,208.85755960259522,-0.5398274013111041,0.06063459693822355,-8.902960167461776,5.437669721085503e-19,1.290412635641826e-16
8202,244.80169378720367,-0.7651268757143294,0.0860338858645698,-8.89331997532639,5.930971338564589e-19,1.3879296678260382e-16
6133,4250.860287420287,0.9087387178741511,0.10231472912589774,8.881797622275409,6.578844531889922e-19,1.5184513906549768e-16
112268437,10.986917640661654,-1.3628356772209997,0.1537675796077904,-8.862958503327796,7.791858833712449e-19,1.774122020124609e-16
6993,386.83556907105213,0.8981641447620551,0.10146357011773452,8.85208497709926,8.58992564701216e-19,1.9297554296867717e-16
105374739,194.04932634217553,-1.1670457734707218,0.13241618167836283,-8.813467951412923,1.2133280763825799e-18,2.689916415653959e-16
53829,76.28435081000042,-1.3740420549699954,0.15596050046368842,-8.810192650605833,1.249309675385968e-18,2.6952580317723376e-16
387036,14.04059682515146,1.7198415678980175,0.19523894349794357,8.808906343606251,1.263727132233454e-18,2.6952580317723376e-16
7249,581.5784065448875,-0.4734527353812148,0.05374217294531926,-8.809705849872056,1.25474673156767e-18,2.6952580317723376e-16
7994,416.64070949611795,-0.7157061693913805,0.0812616083616006,-8.807432978764185,1.2804431875095666e-18,2.696773408293586e-16
5430,779.9597282888445,-0.4441242700123279,0.05047089198461444,-8.799612064469057,1.3728991414944514e-18,2.8557997080296313e-16
29916,172.0917240994498,0.5515741457104942,0.06299133365540707,8.756349702450665,2.0167534897152474e-18,4.1439365302697806e-16
64769,263.63058010655084,0.6713859933981661,0.07672872181532923,8.750126126355376,2.1311442193511593e-18,4.3262227652828533e-16
54870,334.9956476433674,-0.5006069567965667,0.05724794646880552,-8.744539982221863,2.239260789038547e-18,4.475004062420856e-16
7409,71.53013964161767,-1.1133781204828108,0.12733604232798357,-8.743621209893163,2.257554426409714e-18,4.475004062420856e-16
83439,116.7972768632625,-1.0398157683016869,0.11930740552606271,-8.715433578635142,2.8964798337130443e-18,5.674742874212916e-16
414241,194.25306543751873,0.5669645395943169,0.06529373091280279,8.683292127256074,3.844752530527454e-18,7.446004067454836e-16
29894,475.0380476353432,-0.6642880969751639,0.07661150278213776,-8.670866290982678,4.288450594170646e-18,8.21092091604332e-16
1874,146.86799585220635,-0.44964059280490004,0.051990022651913166,-8.648593900705944,5.21378416089444e-18,9.870454980551732e-16
107986158,11.624951281993601,-1.1782864221710556,0.13640957162262607,-8.637857359678232,5.72770674035968e-18,1.0722903429813362e-15
3621,253.83745213145914,-0.5174045419989457,0.05991259406996521,-8.6359896450941,5.822078583912784e-18,1.0779802424213902e-15
144811,89.47424023964932,0.6108938028502274,0.0709259484646268,8.613121376232298,7.10977503982585e-18,1.3020934744133233e-15
1837,51.961828663010834,2.148370977662924,0.2500331436088789,8.592344785392017,8.52122351474421e-18,1.5438074731174753e-15
102465428,70.94497729476961,-1.5084722761950893,0.17566244629927996,-8.587335016529781,8.900980467962749e-18,1.5954534032415357e-15
100500905,21.54736063860701,-1.1226552647862424,0.13094622714417162,-8.573406727863954,1.0046790420262143e-17,1.781877597799967e-15
93081,181.47944633052725,0.7990459866439952,0.09337289878200596,8.557579309061579,1.1526208404425886e-17,2.0021142825378532e-15
57192,258.8284485707999,-0.6709528389934447,0.0784028778231533,-8.557757796937707,1.1508382364869808e-17,2.0021142825378532e-15
4568,135.14149639696677,2.477484555719578,0.29028584077509945,8.534637959276225,1.4059498176849274e-17,2.4172294365483e-15
593,1020.3621598434172,-0.608691234913806,0.07142076798257024,-8.522608368792016,1.5599957298116713e-17,2.6540101684425384e-15
4575,180.36662636737626,2.6097914521253887,0.30626009033935897,8.5214872405789,1.5751737007790006e-17,2.6540101684425384e-15
102724560,2560.5417665869277,-0.85174207508433,0.09997673482229692,-8.519402805045134,1.603781362893827e-17,2.675456651821593e-15
7392,1391.8529585777426,-0.6467636570012048,0.07598682667444952,-8.511523448296312,1.716628073328959e-17,2.8356339615215324e-15
9580,322.36547417822663,-0.46013104716505976,0.05407665689542915,-8.508866368252741,1.7564212454261246e-17,2.8731982101150263e-15
7855,815.7333223093051,-0.5791263089861765,0.06810322284368105,-8.503654963810728,1.83713024610448e-17,2.9763276458283063e-15
51499,341.2505082403339,0.605598717548693,0.07127719468967336,8.496388223264798,1.9558108985295988e-17,3.1384245551738296e-15
56950,239.04392693831818,0.4986928903858465,0.058703143561320455,8.495164996827114,1.9765193427595572e-17,3.1417334345429983e-15
64129,151.70616810883448,-1.1839028174338608,0.1394054926055891,-8.49251199006484,2.022179383827549e-17,3.184271068982278e-15
