ID,Player,Pos,Squad,Age,Born,PlayingTimeMP,PlayingTimeMin,PlayingTimeMn/MP,PlayingTimeMin%,PlayingTime90s,Starts,StartsMn/Start,StartsCompl,Subs,SubsMn/Sub,SubsunSub,TeamSuccessPPM,TeamSuccessonG,TeamSuccessonGA,TeamSuccess+/-,TeamSuccess+/-90,TeamSuccessOn-Off,TeamSuccess(xG)onxG,TeamSuccess(xG)onxGA,TeamSuccess(xG)xG+/-,TeamSuccess(xG)xG+/-90,TeamSuccess(xG)On-Off,Matches
AdFWpl271996,Adam Buksa,FW,pl Poland,27,1996,2,149.0,75.0,55.2,1.7,2,75.0,1,0,,1,0.0,2.0,3.0,-1.0,-0.6,0.88,2.4,2.1,0.3,0.18,1.73,Matches
AleDFit241999,Alessandro Buongiorno,DF,it Italy,24,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
AnDFro301993,Andrei Burcă,DF,ro Romania,30,1993,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.0,4.0,6.0,-2.0,-0.5,,3.5,6.1,-2.6,-0.66,,Matches
HeGKua291994,Heorhiy Bushchan,GK,ua Ukraine,29,1994,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
MaGKpl241999,Marcin Bułka,GK,pl Poland,24,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
UğGKtr271996,Uğurcan Çakır,GK,tr Türkiye,27,1996,0,,,0.0,0.0,0,,0,0,,4,3.0,2.0,1.0,1.0,,,,,,,,Matches
RiDFit212002,Riccardo Calafiori,DF,it Italy,21,2002,3,270.0,90.0,75.0,3.0,3,90.0,3,0,,0,1.33,3.0,3.0,0.0,0.0,2.0,2.6,3.5,-0.9,-0.29,0.24,Matches
HaMFtr291994,Hakan Çalhanoğlu,MF,tr Türkiye,29,1994,4,355.0,89.0,78.9,3.9,4,89.0,2,0,,0,1.5,4.0,7.0,-3.0,-0.76,-3.6,5.3,5.6,-0.3,-0.08,1.16,Matches
EdMFfr212002,Eduardo Camavinga,MF,fr France,21,2002,4,169.0,42.0,29.6,1.9,1,90.0,0,3,26.0,2,1.25,0.0,1.0,-1.0,-0.53,-0.98,1.6,1.9,-0.3,-0.18,-1.11,Matches
AnFWit232000,Andrea Cambiaso,FW/DF,it Italy,23,2000,3,76.0,25.0,21.1,0.8,0,,0,3,25.0,1,1.0,0.0,1.0,-1.0,-1.18,-0.87,0.2,1.4,-1.2,-1.46,-1.4,Matches
EmMFde301994,Emre Can,MF,de Germany,30,1994,4,102.0,26.0,21.3,1.1,1,45.0,0,3,19.0,1,2.25,2.0,1.0,1.0,0.88,-0.55,1.6,0.8,0.8,0.69,-0.39,Matches
JoDFpt291994,João Cancelo,DF/MF,pt Portugal,29,1994,4,345.0,86.0,67.6,3.8,4,86.0,0,0,,1,2.0,4.0,1.0,3.0,0.78,1.33,5.5,2.3,3.2,0.83,-0.17,Matches
YaDFbe301993,Yannick Carrasco,DF/FW,be Belgium,30,1993,4,218.0,55.0,60.6,2.4,2,85.0,0,2,24.0,0,1.0,1.0,2.0,-1.0,-0.41,-1.05,2.6,2.5,0.1,0.05,-0.57,Matches
DaDFes321992,Dani Carvajal,DF,es Spain,32,1992,5,469.0,94.0,71.1,5.2,5,94.0,3,0,,1,3.0,11.0,3.0,8.0,1.54,0.12,9.9,5.2,4.7,0.91,0.35,Matches
TiDFbe281995,Timothy Castagne,DF,be Belgium,28,1995,4,357.0,89.0,99.2,4.0,4,89.0,3,0,,0,1.0,2.0,2.0,0.0,0.0,0.0,4.4,3.4,1.1,0.27,-0.25,Matches
KoGKbe311992,Koen Casteels,GK,be Belgium,31,1992,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.0,2.0,2.0,0.0,0.0,,4.5,3.4,1.1,0.28,,Matches
ŽaFWsi241999,Žan Celar,FW/MF,si Slovenia,24,1999,3,67.0,22.0,17.2,0.7,0,,0,3,22.0,1,1.0,1.0,0.0,1.0,1.34,1.62,0.8,1.3,-0.6,-1.41,-0.83,Matches
ZeDFtr261997,Zeki Çelik,DF/MF,tr Türkiye,26,1997,3,105.0,35.0,23.3,1.2,1,90.0,1,2,8.0,2,1.0,1.0,3.0,-2.0,-1.71,-2.24,2.3,2.1,0.1,0.12,0.58,Matches
VáMFcz261997,Václav Černý,MF,cz Czechia,26,1997,1,54.0,54.0,20.0,0.6,1,54.0,0,0,,2,1.0,0.0,1.0,-1.0,-1.67,-1.25,1.7,0.8,0.9,1.45,1.52,Matches
LuMFcz222001,Lukáš Červ,MF,cz Czechia,22,2001,0,,,0.0,0.0,0,,0,0,,2,0.0,1.0,2.0,-1.0,,,,,,,,Matches
GicMFge241999,Giorgi Chakvetadze,MF/FW,ge Georgia,24,1999,4,244.0,61.0,67.8,2.7,3,72.0,0,1,29.0,0,1.0,4.0,4.0,0.0,0.0,2.33,3.0,5.2,-2.2,-0.81,2.87,Matches
FeFWit261997,Federico Chiesa,FW/MF,it Italy,26,1997,4,263.0,66.0,73.1,2.9,3,76.0,1,1,34.0,0,1.0,3.0,4.0,-1.0,-0.34,0.59,2.7,3.0,-0.3,-0.11,0.9,Matches
ToMFcz291995,Tomáš Chorý,MF,cz Czechia,29,1995,2,36.0,18.0,13.3,0.4,0,,0,2,18.0,1,0.0,1.0,1.0,0.0,0.0,0.77,1.0,0.6,0.4,1.02,0.9,Matches
AnDFdk271996,Andreas Christensen,DF,dk Denmark,27,1996,4,350.0,88.0,97.2,3.9,4,88.0,3,0,,0,0.75,2.0,4.0,-2.0,-0.51,-0.51,4.2,4.4,-0.2,-0.05,2.44,Matches
RyMFsc281995,Ryan Christie,MF/FW,sct Scotland,28,1995,3,99.0,33.0,36.7,1.1,1,90.0,1,2,5.0,0,0.33,0.0,5.0,-5.0,-4.55,-4.55,0.2,2.8,-2.6,-2.59,-2.14,Matches
MoFWcz241999,Mojmir Chytil,FW,cz Czechia,24,1999,3,107.0,36.0,39.6,1.2,1,54.0,0,2,27.0,0,0.33,1.0,3.0,-2.0,-1.68,-1.68,1.2,1.8,-0.6,-0.5,-1.23,Matches
AlMFro261997,Alexandru Cicâldău,MF,ro Romania,26,1997,1,19.0,19.0,5.3,0.2,0,,0,1,19.0,3,0.0,0.0,2.0,-2.0,-9.47,-9.47,0.0,1.1,-1.1,-5.32,-4.92,Matches
ZaGKsc311992,Zander Clark,GK,sct Scotland,31,1992,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
JoDFfr311992,Jonathan Clauss,DF/FW,fr France,31,1992,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
FlMFro251998,Florinel Coman,MF,ro Romania,25,1998,2,118.0,59.0,32.8,1.3,2,59.0,0,0,,1,2.0,4.0,1.0,3.0,2.29,4.15,2.2,1.0,1.2,0.91,2.34,Matches
KiMFfr271996,Kingsley Coman,MF,fr France,27,1996,1,16.0,16.0,2.8,0.2,0,,0,1,16.0,5,1.0,0.0,0.0,0.0,0.0,-0.16,0.0,0.0,0.0,0.08,-0.53,Matches
FrFWpt212002,Francisco Conceição,FW/MF,pt Portugal,21,2002,4,182.0,46.0,35.7,2.0,1,90.0,1,3,31.0,1,1.25,1.0,2.0,-1.0,-0.49,-1.32,5.0,2.5,2.5,1.83,1.25,Matches
ToFWsc212002,Tommy Conway,FW,sct Scotland,21,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
LiDFsc321991,Liam Cooper,DF,sct Scotland,32,1991,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
DiGKpt241999,Diogo Costa,GK,pt Portugal,24,1999,5,510.0,102.0,100.0,5.7,5,102.0,5,0,,0,1.6,5.0,3.0,2.0,0.35,,9.5,4.5,5.0,1.0,1.0,Matches
VlDFcz311992,Vladimír Coufal,DF/FW,cz Czechia,31,1992,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.33,3.0,5.0,-2.0,-0.67,,5.1,4.3,0.7,0.24,,Matches
BrMFit281995,Bryan Cristante,MF,it Italy,28,1995,3,133.0,44.0,36.9,1.5,1,74.0,0,2,30.0,1,1.0,0.0,3.0,-3.0,-2.03,-2.43,0.8,2.4,-1.7,-1.12,-1.23,Matches
KeDFhu232000,Kevin Csoboth,DF,hu Hungary,23,2000,2,9.0,5.0,3.3,0.1,0,,0,2,5.0,1,1.5,1.0,0.0,1.0,10.0,11.38,1.1,0.2,0.8,8.32,8.68,Matches
MaDFes251998,Marc Cucurella,DF,es Spain,25,1998,6,545.0,91.0,82.6,6.1,6,91.0,5,0,,1,3.0,12.0,4.0,8.0,1.32,-1.03,9.8,6.2,3.7,0.64,-0.77,Matches
MiFWal261998,Mirlind Daku,FW,al Albania,26,1998,1,6.0,6.0,2.2,0.1,0,,0,1,6.0,1,1.0,1.0,0.0,1.0,15.0,16.02,0.5,0.2,0.2,3.71,4.89,Matches
DiDFpt241999,Diogo Dalot,DF/MF,pt Portugal,24,1999,2,152.0,76.0,29.8,1.7,2,76.0,1,0,,3,1.5,0.0,3.0,-3.0,-1.78,-3.03,3.0,1.8,1.2,0.7,-0.26,Matches
MiFWdk232000,Mikkel Damsgaard,FW,dk Denmark,23,2000,1,34.0,34.0,9.4,0.4,0,,0,1,34.0,3,1.0,0.0,0.0,0.0,0.0,0.55,0.5,0.2,0.3,0.85,1.07,Matches
FlDFat222001,Flavius Daniliuc,DF,at Austria,22,2001,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
KeDFat251998,Kevin Danso,DF,at Austria,25,1998,3,212.0,71.0,58.9,2.4,2,90.0,2,1,32.0,1,1.0,3.0,3.0,0.0,0.0,-0.61,5.3,3.4,1.9,0.81,1.56,Matches
MáDFhu212002,Márton Dárdai,DF,hu Hungary,21,2002,3,175.0,58.0,64.8,1.9,2,82.0,1,1,12.0,0,1.0,0.0,3.0,-3.0,-1.54,-1.54,1.6,2.1,-0.5,-0.28,-0.59,Matches
MaDFit341989,Matteo Darmian,DF,it Italy,34,1989,3,161.0,54.0,44.7,1.8,2,77.0,0,1,8.0,1,1.33,0.0,3.0,-3.0,-1.68,-2.13,1.4,2.3,-0.9,-0.5,-0.28,Matches
ZuFWge222001,Zuriko Davitashvili,FW/MF,ge Georgia,22,2001,4,115.0,29.0,31.9,1.3,1,61.0,0,3,18.0,0,1.0,1.0,4.0,-3.0,-2.35,-2.35,1.4,6.1,-4.7,-3.71,-2.9,Matches
PaDFpl281995,Paweł Dawidowicz,DF,pl Poland,28,1995,2,180.0,90.0,66.7,2.0,2,90.0,2,0,,1,0.5,2.0,4.0,-2.0,-1.0,0.0,2.8,4.4,-1.7,-0.83,-0.71,Matches
KeMFbe321991,Kevin De Bruyne,MF,be Belgium,32,1991,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.0,2.0,2.0,0.0,0.0,,4.5,3.4,1.1,0.28,,Matches
MaDFbe232000,Maxim De Cuyper,DF/MF,be Belgium,23,2000,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
ChFWbe222001,Charles De Ketelaere,FW,be Belgium,22,2001,1,3.0,3.0,0.8,0.0,0,,0,1,3.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.25,Matches
VeDFsk311992,Vernon De Marco Morlacchi,DF,sk Slovakia,31,1992,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
