Rk,Player,Pos,Squad,Age,Born,90s,PerformanceCrdY,PerformanceCrdR,Performance2CrdY,PerformanceFls,PerformanceFld,PerformanceOff,PerformanceCrs,PerformanceInt,PerformanceTklW,PerformancePKwon,PerformancePKcon,PerformanceOG,PerformanceRecov,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%,Matches,ID
44,Victor Bernth Kristiansen,DF/MF,dk Denmark,21,2002,1.7,0,0,0,0,0,1,4,0,3,0,0,0,6,2,5,28.6,Matches,ViDFdk212002
45,Matúš Bero,MF/DF,sk Slovakia,28,1995,0.5,0,0,0,0,0,0,2,1,1,0,0,0,3,0,0,,Matches,MaMFsk281995
46,Jaka Bijol,DF,si Slovenia,24,1999,4.3,2,0,0,6,0,1,1,6,6,0,0,0,9,9,8,52.9,Matches,JaDFsi241999
47,Veljko Birmančević,DF,rs Serbia,25,1998,0.3,0,0,0,0,1,0,5,2,0,0,0,0,0,0,1,0.0,Matches,VeDFrs251998
48,Daley Blind,FW,nl Netherlands,33,1990,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,DaFWnl331990
49,Bendegúz Bolla,DF,hu Hungary,24,1999,2.3,1,0,0,3,1,1,8,1,3,0,0,0,3,0,1,0.0,Matches,BeDFhu241999
50,Endre Botka,DF,hu Hungary,29,1994,1.0,0,0,0,2,0,0,0,1,1,0,0,0,2,6,6,50.0,Matches,EnDFhu291994
51,Jarrod Bowen,FW,eng England,27,1996,0.4,0,0,0,1,1,0,3,1,1,0,0,0,1,2,1,66.7,Matches,JaFWen271996
52,Róbert Boženík,FW,sk Slovakia,24,1999,2.3,0,0,0,5,1,0,2,0,3,0,0,0,6,3,10,23.1,Matches,RóFWsk241999
53,Volodymyr Brazhko,MF,ua Ukraine,22,2002,2.0,0,0,0,2,3,0,0,5,5,0,0,0,9,0,3,0.0,Matches,VoMFua222002
54,David Brekalo,MF,si Slovenia,25,1998,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches,DaMFsi251998
55,Brian Brobbey,FW,nl Netherlands,21,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,BrFWnl212002
56,Armando Broja,FW,al Albania,22,2001,1.2,1,0,0,2,5,0,0,0,1,0,0,0,1,2,1,66.7,Matches,ArFWal222001
57,Marcelo Brozović,MF,hr Croatia,31,1992,2.5,1,0,0,2,0,0,4,4,0,0,0,0,2,1,1,50.0,Matches,MaMFhr311992
58,Jacob Bruun Larsen,FW,dk Denmark,25,1998,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,Matches,JaFWdk251998
59,Ante Budimir,FW,hr Croatia,32,1991,1.4,0,0,0,5,1,0,1,0,2,0,0,0,1,7,11,38.9,Matches,AnteFWhr321991
60,Adam Buksa,FW,pl Poland,27,1996,1.7,0,0,0,2,4,0,0,0,0,0,0,0,0,3,7,30.0,Matches,AdFWpl271996
61,Andrei Burcă,DF,ro Romania,30,1993,4.0,1,0,0,1,1,0,1,1,2,0,0,0,8,6,8,42.9,Matches,AnDFro301993
62,Riccardo Calafiori,DF,it Italy,21,2002,3.0,2,0,0,4,2,0,1,6,1,0,0,1,13,7,2,77.8,Matches,RiDFit212002
63,Hakan Çalhanoğlu,MF,tr Türkiye,29,1994,3.9,2,0,0,7,3,1,16,1,4,0,0,0,22,3,3,50.0,Matches,HaMFtr291994
64,Eduardo Camavinga,MF,fr France,21,2002,1.9,1,0,0,8,6,0,0,1,2,0,0,0,5,2,0,100.0,Matches,EdMFfr212002
65,Andrea Cambiaso,FW/DF,it Italy,23,2000,0.8,0,0,0,2,1,0,5,0,4,0,0,0,4,0,0,,Matches,AnFWit232000
66,Emre Can,MF,de Germany,30,1994,1.1,0,0,0,2,2,0,0,1,3,0,0,0,2,0,1,0.0,Matches,EmMFde301994
67,João Cancelo,DF/MF,pt Portugal,29,1994,3.8,1,0,0,1,4,0,9,4,4,0,0,0,22,4,4,50.0,Matches,JoDFpt291994
68,Yannick Carrasco,DF/FW,be Belgium,30,1993,2.4,0,0,0,2,1,1,3,0,2,0,0,0,11,0,0,,Matches,YaDFbe301993
69,Dani Carvajal,DF,es Spain,32,1992,5.2,3,1,1,5,3,0,10,6,5,0,0,0,18,6,7,46.2,Matches,DaDFes321992
70,Timothy Castagne,DF,be Belgium,28,1995,4.0,0,0,0,2,0,0,5,2,1,0,0,0,14,3,5,37.5,Matches,TiDFbe281995
71,Koen Casteels,GK,be Belgium,31,1992,4.0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,100.0,Matches,KoGKbe311992
72,Žan Celar,FW/MF,si Slovenia,24,1999,0.7,1,0,0,1,0,2,0,1,1,0,0,0,1,2,0,100.0,Matches,ŽaFWsi241999
73,Zeki Çelik,DF/MF,tr Türkiye,26,1997,1.2,1,0,0,3,0,0,6,0,0,0,0,0,4,2,2,50.0,Matches,ZeDFtr261997
74,Václav Černý,MF,cz Czechia,26,1997,0.6,0,0,0,1,0,1,5,0,1,0,0,0,2,0,0,,Matches,VáMFcz261997
75,Giorgi Chakvetadze,MF/FW,ge Georgia,24,1999,2.7,0,0,0,4,1,0,4,1,5,0,0,0,10,3,3,50.0,Matches,GicMFge241999
76,Federico Chiesa,FW/MF,it Italy,26,1997,2.9,0,0,0,3,1,0,17,3,4,0,0,0,9,0,1,0.0,Matches,FeFWit261997
